#Mapping file for Veto PMT in WP Sphere and Bottom PMTs.
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20241223.
#A total of 2399 PMTs were actually installed in Sphere and 5 PMTs were installed in Bottom , more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F.
#CopyNo, SphereOrWall(0=Sphere 1=Wall), NorthOrSouth(0=North 1=South), LayerNo, WindowNo, PositionNo, PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), LargeOrSmall(0=Large 1=Small), GCU, Channel(0-2), X, Y, Z, Theta, Phi
50060,0,0,10,6,1,2,0,2958,0,-2658.03,-4603.88,19855.35,14.9889,-119.9998
50061,0,0,10,7,1,2,0,2910,1,-1795.04,-5427.54,19750.35,16.1429,-108.3005
50062,0,0,10,8,1,2,0,5144,0,-555.663,-5286.97,19855.35,14.9889,-95.9998
50063,0,0,10,9,1,2,0,2696,0,555.7026,-5286.97,19855.35,14.9889,-83.9998
50064,0,0,10,10,1,2,0,1454,0,1642.781,-5055.9,19855.35,14.9889,-71.9998
50065,0,0,10,11,1,2,0,6913,0,2658.063,-4603.86,19855.35,14.9889,-59.9998
50066,0,0,10,12,1,2,0,1127,0,3557.174,-3950.61,19855.35,14.9889,-47.9998
50067,0,0,10,13,1,2,0,6007,1,4607.205,-3384.39,19750.35,16.1429,-36.3005
50068,0,0,10,14,1,2,0,1082,0,4856.499,-2162.23,19855.35,14.9889,-23.9998
50069,0,0,10,15,1,2,0,0875,0,5199.926,-1105.26,19855.35,14.9889,-11.9998
50070,0,0,10,16,1,2,0,1595,0,5316.091,0.0199,19855.35,14.9889,0.0002
50071,0,0,10,17,1,2,0,1176,0,5199.917,1105.297,19855.35,14.9889,12.0002
50072,0,0,10,18,1,2,0,1168,0,4856.483,2162.267,19855.35,14.9889,24.0002
50073,0,0,10,19,1,2,0,2501,1,4642.447,3335.879,19750.35,16.1429,35.6995
50074,0,0,10,20,1,2,0,3499,0,3557.144,3950.639,19855.35,14.9889,48.0002
50075,0,0,10,21,1,2,0,2357,0,2658.028,4603.88,19855.35,14.9889,60.0002
50076,0,0,10,22,1,2,0,4783,0,1642.743,5055.909,19855.35,14.9889,72.0002
50077,0,0,10,23,1,2,0,2339,0,555.663,5286.971,19855.35,14.9889,84.0002
50078,0,0,10,24,1,2,0,2360,0,-555.703,5286.967,19855.35,14.9889,96.0002
50079,0,0,10,25,1,2,0,2837,1,-1738.01,5446.073,19750.35,16.1429,107.6995
50080,0,0,10,26,1,2,0,2138,0,-2658.06,4603.86,19855.35,14.9889,120.0002
50081,0,0,10,27,1,2,0,0956,0,-3557.17,3950.612,19855.35,14.9889,132.0002
50082,0,0,10,28,1,2,0,1634,0,-4300.82,3124.704,19855.35,14.9889,144.0002
50083,0,0,10,29,1,2,0,1344,0,-4856.5,2162.231,19855.35,14.9889,156.0002
50084,0,0,10,30,1,2,0,1179,0,-5199.93,1105.258,19855.35,14.9889,168.0002
50085,0,0,9,1,1,2,0,1504,0,-6932.04,-0.0002,19348.18,19.7115,-180.0
50086,0,0,9,1,2,2,0,1504,2,-7899.82,1.2483,18964.02,22.6151,179.9909
50087,0,0,9,2,1,2,0,0766,2,-7026.82,-1493.62,19245.05,20.4696,-167.9998
50088,0,0,9,2,2,2,0,0766,1,-7749.94,-1647.33,18954.88,22.6848,-167.9998
50089,0,0,9,3,1,2,0,4394,2,-6562.72,-2921.94,19245.05,20.4696,-155.9998
50090,0,0,9,3,2,2,0,4394,1,-7238.09,-3222.64,18954.88,22.6848,-155.9998
50091,0,0,9,4,1,2,0,6235,2,-5811.81,-4222.56,19245.05,20.4696,-143.9998
50092,0,0,9,4,2,2,0,6235,1,-6409.9,-4657.1,18954.88,22.6848,-143.9998
50093,0,0,9,5,1,2,0,4859,2,-4806.88,-5338.63,19245.05,20.4696,-131.9997
50094,0,0,9,5,2,2,0,4859,1,-5301.56,-5888.02,18954.88,22.6848,-131.9998
50095,0,0,9,6,1,2,0,2958,2,-3591.88,-6221.37,19245.05,20.4696,-119.9998
50096,0,0,9,6,2,2,0,2958,1,-3961.52,-6861.61,18954.88,22.6848,-119.9998
50097,0,0,9,7,1,2,0,2825,0,-2142.12,-6592.76,19348.18,19.7115,-108.0
50098,0,0,9,7,2,2,0,2825,2,-2442.36,-7512.79,18964.02,22.6151,-108.009
50099,0,0,9,8,1,2,0,5144,2,-750.886,-7144.46,19245.05,20.4696,-95.9998
50100,0,0,9,8,2,2,0,5144,1,-828.159,-7879.69,18954.88,22.6848,-95.9998
50101,0,0,9,9,1,2,0,2696,2,750.939,-7144.45,19245.05,20.4696,-83.9998
50102,0,0,9,9,2,2,0,2696,1,828.2177,-7879.68,18954.88,22.6848,-83.9998
50103,0,0,9,10,1,2,0,1454,2,2219.944,-6832.2,19245.05,20.4696,-71.9998
50104,0,0,9,10,2,2,0,1454,1,2448.397,-7535.3,18954.88,22.6848,-71.9998
50105,0,0,9,11,1,2,0,6913,2,3591.927,-6221.35,19245.05,20.4696,-59.9998
50106,0,0,9,11,2,2,0,6913,1,3961.57,-6861.58,18954.88,22.6848,-59.9998
50107,0,0,9,12,1,2,0,1127,2,4806.925,-5338.59,19245.05,20.4696,-47.9998
50108,0,0,9,12,2,2,0,1127,1,5301.603,-5887.98,18954.88,22.6848,-47.9998
50109,0,0,9,13,1,2,0,1205,0,5608.138,-4074.55,19348.18,19.7115,-36.0
50110,0,0,9,13,2,2,0,1205,2,6390.353,-4644.41,18964.02,22.6151,-36.0091
50111,0,0,9,14,1,2,0,1082,2,6562.745,-2921.89,19245.05,20.4696,-23.9998
50112,0,0,9,14,2,2,0,1082,1,7238.114,-3222.58,18954.88,22.6848,-23.9998
50113,0,0,9,15,1,2,0,0875,2,7026.829,-1493.57,19245.05,20.4696,-11.9998
50114,0,0,9,15,2,2,0,0875,1,7749.956,-1647.27,18954.88,22.6848,-11.9998
50115,0,0,9,16,1,2,0,1595,2,7183.807,0.0268,19245.05,20.4696,0.0002
50116,0,0,9,16,2,2,0,1595,1,7923.089,0.0296,18954.88,22.6848,0.0002
50117,0,0,9,17,1,2,0,1176,2,7026.818,1493.624,19245.05,20.4696,12.0002
50118,0,0,9,17,2,2,0,1176,1,7749.944,1647.332,18954.88,22.6848,12.0002
50119,0,0,9,18,1,2,0,1168,2,6562.723,2921.942,19245.05,20.4696,24.0002
50120,0,0,9,18,2,2,0,1168,1,7238.09,3222.638,18954.88,22.6848,24.0002
50121,0,0,9,19,1,2,0,3279,0,5608.137,4074.551,19348.18,19.7115,36.0
