#Mapping file for Veto PMT in WP Sphere and Bottom PMTs.
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20241223.
#A total of 2399 PMTs were actually installed in Sphere and 5 PMTs were installed in Bottom, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F.
#CopyNo, SphereOrWall(0=Sphere 1=Wall), NorthOrSouth(0=North 1=South), LayerNo, WindowNo, PositionNo, PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), LargeOrSmall(0=Large 1=Small), GCU, Channel(0-2), X, Y, Z, Theta, Phi
52400,0,1,13,1,1,2,0,1469,0,6150.15,10252.7,-21050.0,150.4046,59.0423
52401,0,1,13,1,2,2,0,1718,0,-1963.01,12005.9,-20780.0,149.6538,99.2859
52402,0,1,13,1,3,2,0,1718,1,1402.67,11974.9,-21050.0,150.1973,83.3191
52403,0,1,13,1,4,2,0,6946,0,-12849.4,12983.5,-20250.0,137.9474,134.7026
52404,0,1,13,1,5,2,0,6946,1,-9321.08,11865.8,-20250.0,143.3088,128.1511
