#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
4615,0,0,21,165,0,2,5294,1,-11179.2,13007.58,9138.325,61.9512,130.677
4616,0,0,21,166,0,1,5294,2,-11601.0,12632.85,9138.325,61.9512,132.5619
4617,0,0,21,167,0,1,3192,0,-12010.2,12244.46,9138.325,61.9512,134.4466
4618,0,0,21,168,0,2,3192,1,-12406.4,11842.82,9138.325,61.9512,136.3314
4619,0,0,21,169,0,2,3192,2,-12789.2,11428.36,9138.325,61.9512,138.2162
4620,0,0,21,170,0,1,2992,0,-13158.2,11001.53,9138.325,61.9512,140.1011
4621,0,0,21,171,0,1,2992,1,-13512.9,10562.8,9138.325,61.9512,141.9859
4622,0,0,21,172,0,2,2992,2,-13853.0,10112.64,9138.325,61.9512,143.8707
4623,0,0,21,173,0,1,3137,0,-14178.1,9651.541,9138.325,61.9512,145.7555
4624,0,0,21,174,0,2,3137,1,-14487.9,9179.998,9138.325,61.9512,147.6403
4625,0,0,21,175,0,2,3137,2,-14782.0,8698.52,9138.325,61.9512,149.5252
4626,0,0,21,176,0,1,3883,0,-15060.1,8207.629,9138.325,61.9512,151.41
4627,0,0,21,177,0,1,3883,1,-15321.9,7707.857,9138.325,61.9512,153.2948
4628,0,0,21,178,0,2,3883,2,-15567.1,7199.744,9138.325,61.9512,155.1796
4629,0,0,21,179,0,1,4181,2,-15795.5,6683.843,9138.325,61.9512,157.0644
4630,0,0,21,180,0,1,4181,1,-16006.8,6160.708,9138.325,61.9512,158.9492
4631,0,0,21,181,0,2,4181,0,-16200.7,5630.906,9138.325,61.9511,160.834
4632,0,0,21,182,0,2,4488,2,-16377.2,5095.012,9138.325,61.9512,162.7189
4633,0,0,21,183,0,1,4488,1,-16535.9,4553.604,9138.325,61.9512,164.6037
4634,0,0,21,184,0,1,4488,0,-16676.7,4007.27,9138.325,61.9512,166.4885
4635,0,0,21,185,0,2,5394,2,-16799.5,3456.599,9138.325,61.9512,168.3733
4636,0,0,21,186,0,1,5394,1,-16904.1,2902.188,9138.325,61.9512,170.2581
4637,0,0,21,187,0,2,5394,0,-16990.4,2344.636,9138.325,61.9512,172.1429
4638,0,0,21,188,0,2,4516,2,-17058.3,1784.547,9138.325,61.9511,174.0277
4639,0,0,21,189,0,1,4516,1,-17107.8,1222.528,9138.325,61.9512,175.9126
4640,0,0,21,190,0,1,4516,0,-17138.8,659.1854,9138.325,61.9513,177.7974
4641,0,0,21,191,0,2,7103,2,-17151.2,95.1301,9138.325,61.9512,179.6822
4642,0,0,20,1,0,2,7469,0,-17391.9,-355.422,8664.549,63.5225,-178.8293
4643,0,0,20,2,0,2,7220,0,-17372.9,-888.228,8664.549,63.5226,-177.0732
4644,0,0,20,3,0,2,7220,1,-17337.5,-1420.2,8664.549,63.5226,-175.3171
4645,0,0,20,4,0,2,7220,2,-17285.8,-1950.84,8664.549,63.5225,-173.561
4646,0,0,20,5,0,2,7186,0,-17217.9,-2479.65,8664.549,63.5225,-171.8048
4647,0,0,20,6,0,2,7186,1,-17133.9,-3006.12,8664.549,63.5226,-170.0488
4648,0,0,20,7,0,2,7186,2,-17033.7,-3529.78,8664.549,63.5226,-168.2927
4649,0,0,20,8,0,2,5654,2,-16917.5,-4050.11,8664.549,63.5226,-166.5366
4650,0,0,20,9,0,2,5654,1,-16785.5,-4566.65,8664.549,63.5226,-164.7805
4651,0,0,20,10,0,2,5654,0,-16637.6,-5078.89,8664.549,63.5226,-163.0244
4652,0,0,20,11,0,2,3968,2,-16474.2,-5586.37,8664.549,63.5226,-161.2683
4653,0,0,20,12,0,2,3968,1,-16295.2,-6088.59,8664.549,63.5225,-159.5121
4654,0,0,20,13,0,2,3968,0,-16101.0,-6585.1,8664.549,63.5226,-157.7561
4655,0,0,20,14,0,1,3290,2,-15891.6,-7075.42,8664.549,63.5225,-155.9999
4656,0,0,20,15,0,2,3290,1,-15667.4,-7559.09,8664.549,63.5226,-154.244
4657,0,0,20,16,0,2,3290,0,-15428.4,-8035.67,8664.549,63.5227,-152.4879
4658,0,0,20,17,0,2,2883,2,-15174.9,-8504.69,8664.549,63.5226,-150.7318
4659,0,0,20,18,0,2,2883,1,-14907.1,-8965.73,8664.549,63.5226,-148.9756
4660,0,0,20,19,0,2,2883,0,-14625.3,-9418.34,8664.549,63.5225,-147.2194
4661,0,0,20,20,0,2,5127,2,-14329.9,-9862.11,8664.549,63.5226,-145.4635
4662,0,0,20,21,0,2,5127,1,-14020.9,-10296.6,8664.549,63.5226,-143.7074
4663,0,0,20,22,0,2,5127,0,-13698.8,-10721.5,8664.549,63.5227,-141.9511
4664,0,0,20,23,0,2,5954,2,-13363.8,-11136.2,8664.549,63.5226,-140.1952
4665,0,0,20,24,0,2,5954,1,-13016.2,-11540.5,8664.549,63.5225,-138.439
4666,0,0,20,25,0,2,5954,0,-12656.5,-11934.0,8664.549,63.5226,-136.6829
4667,0,0,20,26,0,2,6589,0,-12284.8,-12316.2,8664.549,63.5226,-134.9269
4668,0,0,20,27,0,2,6589,1,-11901.6,-12686.9,8664.549,63.5226,-133.1707
4669,0,0,20,28,0,2,6589,2,-11507.2,-13045.7,8664.549,63.5226,-131.4145
4670,0,0,20,29,0,2,3445,0,-11102.0,-13392.2,8664.549,63.5226,-129.6584
4671,0,0,20,30,0,2,3445,1,-10686.4,-13726.1,8664.549,63.5226,-127.9024
4672,0,0,20,31,0,2,3445,2,-10260.8,-14047.2,8664.549,63.5227,-126.1463
4673,0,0,20,32,0,2,5750,0,-9825.48,-14355.0,8664.549,63.5226,-124.3902
4674,0,0,20,33,0,2,5750,1,-9380.96,-14649.4,8664.549,63.5226,-122.6341
4675,0,0,20,34,0,2,5750,2,-8927.62,-14930.0,8664.549,63.5226,-120.878
4676,0,0,20,35,0,2,6957,2,-8465.9,-15196.5,8664.549,63.5226,-119.122
4677,0,0,20,36,0,2,6957,1,-7996.23,-15448.8,8664.549,63.5226,-117.3659
4678,0,0,20,37,0,2,6957,0,-7519.05,-15686.6,8664.549,63.5226,-115.6098
4679,0,0,20,38,0,2,7158,2,-7034.8,-15909.7,8664.549,63.5226,-113.8536
4680,0,0,20,39,0,2,7158,1,-6543.95,-16117.8,8664.549,63.5226,-112.0975
4681,0,0,20,40,0,2,7158,0,-6046.95,-16310.7,8664.549,63.5225,-110.3415
4682,0,0,20,41,0,2,7035,2,-5544.27,-16488.4,8664.549,63.5226,-108.5854
4683,0,0,20,42,0,2,7035,1,-5036.38,-16650.6,8664.549,63.5227,-106.8292
4684,0,0,20,43,0,2,7035,0,-4523.76,-16797.1,8664.549,63.5226,-105.0731
4685,0,0,20,44,0,2,7131,2,-4006.89,-16927.8,8664.549,63.5226,-103.3171
4686,0,0,20,45,0,2,7131,1,-3486.26,-17042.7,8664.549,63.5227,-101.5609
4687,0,0,20,46,0,2,7131,0,-2962.35,-17141.5,8664.549,63.5226,-99.8049
4688,0,0,20,47,0,2,7240,2,-2435.66,-17224.2,8664.549,63.5226,-98.0488
4689,0,0,20,48,0,2,7240,1,-1906.68,-17290.8,8664.549,63.5226,-96.2927
4690,0,0,20,49,0,2,7240,0,-1375.91,-17341.1,8664.549,63.5226,-94.5366
4691,0,0,20,50,0,2,7027,0,-843.854,-17375.1,8664.549,63.5226,-92.7805
4692,0,0,20,51,0,2,7027,1,-311.0,-17392.8,8664.549,63.5226,-91.0244
4693,0,0,20,52,0,2,7027,2,222.1486,-17394.2,8664.549,63.5227,-89.2683
4694,0,0,20,53,0,2,6943,0,755.085,-17379.2,8664.549,63.5226,-87.5122
4695,0,0,20,54,0,2,6943,1,1287.313,-17347.9,8664.549,63.5226,-85.7561
4696,0,0,20,55,0,2,6943,2,1818.332,-17300.3,8664.549,63.5226,-84.0
4697,0,0,20,56,0,2,7051,2,2347.645,-17236.4,8664.549,63.5226,-82.2439
4698,0,0,20,57,0,2,7051,1,2874.749,-17156.4,8664.549,63.5226,-80.4878
4699,0,0,20,58,0,2,7051,0,3399.155,-17060.2,8664.549,63.5225,-78.7317
4700,0,0,20,59,0,2,7549,0,3920.367,-16948.1,8664.549,63.5226,-76.9756
4701,0,0,20,60,0,2,7549,1,4437.897,-16820.0,8664.549,63.5226,-75.2195
4702,0,0,20,61,0,2,7549,2,4951.258,-16676.1,8664.549,63.5226,-73.4635
4703,0,0,20,62,0,2,7235,2,5459.971,-16516.5,8664.549,63.5226,-71.7073
4704,0,0,20,63,0,2,7235,1,5963.552,-16341.4,8664.549,63.5226,-69.9512
4705,0,0,20,64,0,2,7235,0,6461.533,-16151.0,8664.549,63.5226,-68.1951
4706,0,0,20,65,0,2,6944,2,6953.442,-15945.4,8664.549,63.5226,-66.439
4707,0,0,20,66,0,2,6944,1,7438.821,-15724.8,8664.549,63.5226,-64.6829
4708,0,0,20,67,0,2,6944,0,7917.213,-15489.5,8664.549,63.5226,-62.9269
4709,0,0,20,68,0,2,5156,2,8388.167,-15239.6,8664.549,63.5226,-61.1708
4710,0,0,20,69,0,2,5156,1,8851.242,-14975.4,8664.549,63.5226,-59.4147
4711,0,0,20,70,0,2,5156,0,9306.003,-14697.1,8664.549,63.5226,-57.6586
4712,0,0,20,71,0,1,4840,0,9752.023,-14405.0,8664.549,63.5226,-55.9024
4713,0,0,20,72,0,2,4840,1,10188.88,-14099.4,8664.549,63.5226,-54.1464
4714,0,0,20,73,0,2,4840,2,10616.17,-13780.5,8664.549,63.5226,-52.3902
4715,0,0,20,74,0,2,6129,0,11033.49,-13448.7,8664.549,63.5226,-50.6341
4716,0,0,20,75,0,2,6129,1,11440.44,-13104.3,8664.549,63.5226,-48.8781
4717,0,0,20,76,0,2,6129,2,11836.65,-12747.5,8664.549,63.5226,-47.1219
4718,0,0,20,77,0,2,6090,0,12221.74,-12378.8,8664.549,63.5226,-45.3658
4719,0,0,20,78,0,2,6090,1,12595.34,-11998.5,8664.549,63.5226,-43.6098
4720,0,0,20,79,0,2,6090,2,12957.12,-11606.9,8664.549,63.5226,-41.8538
4721,0,0,20,80,0,2,6493,0,13306.72,-11204.3,8664.549,63.5226,-40.0975
4722,0,0,20,81,0,2,6493,1,13643.83,-10791.3,8664.549,63.5226,-38.3415
4723,0,0,20,82,0,2,6493,2,13968.12,-10368.1,8664.549,63.5226,-36.5853
4724,0,0,20,83,0,2,4406,2,14279.29,-9935.18,8664.549,63.5226,-34.8293
4725,0,0,20,84,0,2,4406,1,14577.04,-9492.93,8664.549,63.5226,-33.0732
4726,0,0,20,85,0,2,4406,0,14861.11,-9041.76,8664.549,63.5226,-31.3171
4727,0,0,20,86,0,2,4384,2,15131.21,-8582.1,8664.549,63.5226,-29.561
4728,0,0,20,87,0,2,4384,1,15387.1,-8114.37,8664.549,63.5226,-27.8049
4729,0,0,20,88,0,2,4384,0,15628.54,-7639.02,8664.549,63.5226,-26.0488
4730,0,0,20,89,0,2,5920,2,15855.3,-7156.5,8664.549,63.5226,-24.2927
4731,0,0,20,90,0,2,5920,1,16067.16,-6667.26,8664.549,63.5226,-22.5366
4732,0,0,20,91,0,2,5920,0,16263.93,-6171.75,8664.549,63.5226,-20.7805
4733,0,0,20,92,0,2,5986,0,16445.43,-5670.44,8664.549,63.5226,-19.0244
4734,0,0,20,93,0,2,5986,1,16611.47,-5163.81,8664.549,63.5226,-17.2683
4735,0,0,20,94,0,2,5986,2,16761.91,-4652.33,8664.549,63.5226,-15.5122
4736,0,0,20,95,0,2,5142,0,16896.61,-4136.48,8664.549,63.5226,-13.7561
4737,0,0,20,96,0,2,5142,1,17015.44,-3616.74,8664.549,63.5226,-12.0
4738,0,0,20,97,0,2,5142,2,17118.28,-3093.61,8664.549,63.5226,-10.2439
4739,0,0,20,98,0,2,5125,0,17205.04,-2567.57,8664.549,63.5226,-8.4878
4740,0,0,20,99,0,2,5125,1,17275.65,-2039.11,8664.549,63.5226,-6.7317
4741,0,0,20,100,0,2,5125,2,17330.02,-1508.75,8664.549,63.5226,-4.9756
4742,0,0,20,101,0,2,4611,0,17368.12,-976.962,8664.549,63.5226,-3.2195
4743,0,0,20,102,0,2,4611,1,17389.9,-444.259,8664.549,63.5226,-1.4634
4744,0,0,20,103,0,2,4611,2,17395.35,88.8622,8664.549,63.5226,0.2927
4745,0,0,20,104,0,2,4848,0,17384.45,621.8975,8664.549,63.5226,2.0488
4746,0,0,20,105,0,2,4848,1,17357.23,1154.349,8664.549,63.5226,3.8049
4747,0,0,20,106,0,2,4848,2,17313.7,1685.718,8664.549,63.5226,5.561
4748,0,0,20,107,0,2,4879,0,17253.91,2215.502,8664.549,63.5226,7.3171
4749,0,0,20,108,0,2,4879,1,17177.91,2743.207,8664.549,63.5226,9.0732
4750,0,0,20,109,0,2,4879,2,17085.78,3268.334,8664.549,63.5226,10.8293
4751,0,0,20,110,0,2,3627,2,16977.6,3790.39,8664.549,63.5226,12.5854
4752,0,0,20,111,0,2,3627,1,16853.47,4308.887,8664.549,63.5226,14.3415
4753,0,0,20,112,0,2,3627,0,16713.51,4823.334,8664.549,63.5226,16.0976
4754,0,0,20,113,0,2,3620,2,16557.85,5333.255,8664.549,63.5226,17.8537
4755,0,0,20,114,0,2,3620,1,16386.63,5838.164,8664.549,63.5226,19.6098
4756,0,0,20,115,0,2,3620,0,16200.03,6337.588,8664.549,63.5226,21.3659
4757,0,0,20,116,0,2,3090,2,15998.21,6831.059,8664.549,63.5226,23.1219
4758,0,0,20,117,0,2,3090,1,15781.35,7318.113,8664.549,63.5226,24.8781
4759,0,0,20,118,0,2,3090,0,15549.68,7798.295,8664.549,63.5226,26.6341
4760,0,0,20,119,0,2,3141,0,15303.4,8271.15,8664.549,63.5226,28.3902
4761,0,0,20,120,0,2,3141,1,15042.74,8736.236,8664.549,63.5226,30.1463
4762,0,0,20,121,0,2,3141,2,14767.96,9193.116,8664.549,63.5226,31.9024
4763,0,0,20,122,0,2,3170,0,14479.3,9641.36,8664.549,63.5226,33.6585
4764,0,0,20,123,0,2,3170,1,14177.04,10080.55,8664.549,63.5226,35.4146
4765,0,0,20,124,0,2,3170,2,13861.46,10510.27,8664.549,63.5226,37.1707
4766,0,0,20,125,0,2,6494,0,13532.87,10930.12,8664.549,63.5226,38.9268
4767,0,0,20,126,0,2,6494,1,13191.56,11339.7,8664.549,63.5226,40.6829
4768,0,0,20,127,0,2,6494,2,12837.86,11738.63,8664.549,63.5226,42.439
4769,0,0,20,128,0,2,4608,0,12472.1,12126.53,8664.549,63.5226,44.1951
4770,0,0,20,129,0,2,4608,1,12094.63,12503.04,8664.549,63.5226,45.9512
4771,0,0,20,130,0,2,4608,2,11705.79,12867.8,8664.549,63.5226,47.7073
4772,0,0,20,131,0,2,5933,2,11305.96,13220.48,8664.549,63.5226,49.4634
4773,0,0,20,132,0,2,5933,1,10895.51,13560.74,8664.549,63.5226,51.2195
4774,0,0,20,133,0,2,5933,0,10474.83,13888.27,8664.549,63.5226,52.9756
4775,0,0,20,134,0,2,1570,2,10044.3,14202.74,8664.549,63.5226,54.7317
4776,0,0,20,135,0,2,1570,1,9604.346,14503.88,8664.549,63.5226,56.4878
4777,0,0,20,136,0,2,1570,0,9155.365,14791.39,8664.549,63.5226,58.2439
4778,0,0,20,137,0,2,7017,2,8697.785,15065.01,8664.549,63.5226,60.0
4779,0,0,20,138,0,2,7017,1,8232.034,15324.48,8664.549,63.5226,61.7561
4780,0,0,20,139,0,2,7017,0,7758.551,15569.55,8664.549,63.5226,63.5122
4781,0,0,20,140,0,2,7007,2,7277.78,15800.0,8664.549,63.5226,65.2683
4782,0,0,20,141,0,2,7007,1,6790.173,16015.6,8664.549,63.5226,67.0244
4783,0,0,20,142,0,2,7007,0,6296.188,16216.16,8664.549,63.5226,68.7805
4784,0,0,20,143,0,2,6056,0,5796.288,16401.49,8664.549,63.5226,70.5366
4785,0,0,20,144,0,2,6056,1,5290.944,16571.42,8664.549,63.5226,72.2927
4786,0,0,20,145,0,2,6056,2,4780.63,16725.77,8664.549,63.5226,74.0488
4787,0,0,20,146,0,2,7013,2,4265.825,16864.42,8664.549,63.5226,75.8049
4788,0,0,20,147,0,2,7013,1,3747.014,16987.23,8664.549,63.5226,77.561
4789,0,0,20,148,0,2,7013,0,3224.683,17094.07,8664.55,63.5226,79.3171
4790,0,0,20,149,0,2,7033,0,2699.323,17184.87,8664.55,63.5226,81.0732
4791,0,0,20,150,0,2,7033,1,2171.427,17259.51,8664.55,63.5226,82.8293
4792,0,0,20,151,0,2,7033,2,1641.492,17317.95,8664.55,63.5226,84.5854
4793,0,0,20,152,0,2,0019,0,1110.015,17360.12,8664.55,63.5226,86.3415
4794,0,0,20,153,0,2,0019,1,577.495,17385.98,8664.55,63.5226,88.0976
4795,0,0,20,154,0,2,0019,2,44.4323,17395.52,8664.55,63.5226,89.8537
4796,0,0,20,155,0,2,7552,2,-488.674,17388.71,8664.55,63.5226,91.6098
4797,0,0,20,156,0,2,6959,0,-1021.32,17365.56,8664.55,63.5226,93.3659
4798,0,0,20,157,0,2,6959,1,-1553.0,17326.11,8664.55,63.5226,95.1219
4799,0,0,20,158,0,2,6959,2,-2083.23,17270.38,8664.55,63.5226,96.878
4800,0,0,20,159,0,2,7555,0,-2611.5,17198.43,8664.55,63.5226,98.6341
4801,0,0,20,160,0,2,7555,1,-3137.32,17110.32,8664.55,63.5226,100.3902
4802,0,0,20,161,0,2,7555,2,-3660.19,17006.14,8664.55,63.5226,102.1463
4803,0,0,20,162,0,2,6978,0,-4179.62,16885.99,8664.55,63.5226,103.9024
4804,0,0,20,163,0,2,6978,1,-4695.13,16749.98,8664.55,63.5226,105.6585
4805,0,0,20,164,0,2,6978,2,-5206.23,16598.23,8664.55,63.5226,107.4146
4806,0,0,20,165,0,2,7054,2,-5712.43,16430.89,8664.55,63.5226,109.1707
4807,0,0,20,166,0,2,7054,1,-6213.27,16248.11,8664.55,63.5226,110.9268
4808,0,0,20,167,0,2,7054,0,-6708.28,16050.08,8664.55,63.5226,112.6829
4809,0,0,20,168,0,2,7430,2,-7196.98,15836.96,8664.55,63.5226,114.439
4810,0,0,20,169,0,2,7430,1,-7678.92,15608.98,8664.55,63.5226,116.1951
4811,0,0,20,170,0,2,7430,0,-8153.65,15366.33,8664.55,63.5226,117.9512
4812,0,0,20,171,0,2,6084,2,-8620.72,15109.24,8664.55,63.5226,119.7073
4813,0,0,20,172,0,2,6084,1,-9079.69,14837.96,8664.55,63.5226,121.4634
4814,0,0,20,173,0,2,6084,0,-9530.13,14552.75,8664.55,63.5226,123.2195
4815,0,0,20,174,0,2,3788,2,-9971.62,14253.86,8664.55,63.5226,124.9756
4816,0,0,20,175,0,2,3788,1,-10403.8,13941.59,8664.55,63.5226,126.7318
4817,0,0,20,176,0,2,3788,0,-10826.1,13616.22,8664.55,63.5226,128.4878
4818,0,0,20,177,0,2,2870,2,-11238.3,13278.06,8664.55,63.5226,130.2439
4819,0,0,20,178,0,2,2870,1,-11639.9,12927.43,8664.55,63.5226,132.0
4820,0,0,20,179,0,2,2870,0,-12030.6,12564.65,8664.55,63.5226,133.7561
4821,0,0,20,180,0,2,2027,0,-12410.0,12190.08,8664.55,63.5226,135.5122
4822,0,0,20,181,0,2,2027,1,-12777.7,11804.05,8664.55,63.5226,137.2682
4823,0,0,20,182,0,2,2027,2,-13133.5,11406.93,8664.55,63.5226,139.0245
4824,0,0,20,183,0,2,2587,0,-13476.9,10999.1,8664.55,63.5226,140.7806
4825,0,0,20,184,0,2,2587,1,-13807.6,10580.94,8664.55,63.5226,142.5366
4826,0,0,20,185,0,2,2587,2,-14125.4,10152.84,8664.55,63.5226,144.2928
4827,0,0,20,186,0,2,3012,0,-14429.9,9715.197,8664.55,63.5226,146.0489
4828,0,0,20,187,0,2,3012,1,-14720.8,9268.433,8664.55,63.5226,147.8049
4829,0,0,20,188,0,2,3012,2,-14997.9,8812.962,8664.55,63.5226,149.5609
4830,0,0,20,189,0,2,3357,0,-15260.9,8349.213,8664.55,63.5225,151.317
4831,0,0,20,190,0,2,3357,1,-15509.6,7877.622,8664.55,63.5225,153.0731
4832,0,0,20,191,0,2,3357,2,-15743.8,7398.631,8664.55,63.5226,154.8293
4833,0,0,20,192,0,2,6470,2,-15963.1,6912.69,8664.55,63.5226,156.5854
4834,0,0,20,193,0,2,6470,1,-16167.4,6420.256,8664.549,63.5225,158.3414
4835,0,0,20,194,0,2,6470,0,-16356.6,5921.791,8664.549,63.5226,160.0976
4836,0,0,20,195,0,2,6093,2,-16530.4,5417.764,8664.549,63.5226,161.8537
4837,0,0,20,196,0,2,6093,1,-16688.7,4908.647,8664.549,63.5227,163.6098
4838,0,0,20,197,0,2,6093,0,-16831.2,4394.92,8664.549,63.5225,165.3658
4839,0,0,20,198,0,1,3182,2,-16958.0,3877.064,8664.549,63.5226,167.1219
4840,0,0,20,199,0,2,3182,1,-17068.9,3355.568,8664.549,63.5226,168.8781
4841,0,0,20,200,0,2,3182,0,-17163.7,2830.919,8664.549,63.5226,170.6342
4842,0,0,20,201,0,1,4756,2,-17242.4,2303.611,8664.549,63.5226,172.3903
4843,0,0,20,202,0,2,4756,1,-17304.9,1774.137,8664.549,63.5226,174.1464
4844,0,0,20,203,0,2,4756,0,-17351.1,1242.999,8664.549,63.5226,175.9024
4845,0,0,20,204,0,2,7469,2,-17381.0,710.6932,8664.549,63.5225,177.6585
4846,0,0,20,205,0,2,7469,1,-17394.7,177.7199,8664.549,63.5226,179.4146
4847,0,0,19,1,0,1,7496,2,-17595.8,-89.8871,8249.777,64.8808,-179.7073
4848,0,0,19,2,0,1,7496,1,-17584.8,-629.066,8249.777,64.8808,-177.9512
4849,0,0,19,3,0,2,7496,0,-17557.3,-1167.65,8249.777,64.8809,-176.1951
4850,0,0,19,4,0,1,7286,0,-17452.8,-2241.04,8249.777,64.8809,-172.6829
4851,0,0,19,5,0,2,7286,1,-17375.9,-2774.82,8249.777,64.8808,-170.9268
4852,0,0,19,6,0,1,7286,2,-17282.7,-3306.0,8249.777,64.8808,-169.1707
4853,0,0,19,7,0,2,5137,2,-17173.3,-3834.08,8249.777,64.8809,-167.4146
4854,0,0,19,8,0,1,5137,1,-17047.7,-4358.55,8249.777,64.8808,-165.6585
4855,0,0,19,9,0,2,5137,0,-16906.1,-4878.93,8249.777,64.8808,-163.9024
4856,0,0,19,10,0,1,1734,0,-16575.5,-5905.45,8249.777,64.8808,-160.3902
4857,0,0,19,11,0,2,1734,1,-16386.7,-6410.63,8249.777,64.8808,-158.6341
4858,0,0,19,12,0,1,1734,2,-16182.6,-6909.79,8249.777,64.8808,-156.8781
4859,0,0,19,13,0,2,4737,2,-15963.2,-7402.46,8249.777,64.8808,-155.1219
4860,0,0,19,14,0,1,4737,1,-15728.9,-7888.18,8249.777,64.8808,-153.3658
4861,0,0,19,15,0,2,4737,0,-15479.8,-8366.48,8249.777,64.8809,-151.6098
4862,0,0,19,16,0,1,4333,0,-14938.2,-9299.07,8249.777,64.8809,-148.0976
4863,0,0,19,17,0,1,4333,1,-14646.2,-9752.48,8249.777,64.8809,-146.3415
4864,0,0,19,18,0,2,4333,2,-14340.4,-10196.7,8249.777,64.8808,-144.5854
4865,0,0,19,19,0,1,6735,2,-14021.2,-10631.4,8249.777,64.8808,-142.8292
4866,0,0,19,20,0,2,6735,1,-13688.8,-11056.1,8249.777,64.8808,-141.0731
4867,0,0,19,21,0,1,6735,0,-13343.6,-11470.4,8249.777,64.8808,-139.317
4868,0,0,19,22,0,2,3436,0,-12615.8,-12266.3,8249.777,64.8808,-135.8047
4869,0,0,19,23,0,1,3436,1,-12234.0,-12647.1,8249.777,64.8808,-134.0488
4870,0,0,19,24,0,2,3436,2,-11840.7,-13016.1,8249.777,64.8808,-132.2927
4871,0,0,19,25,0,1,3656,2,-11436.3,-13372.9,8249.777,64.8809,-130.5366
4872,0,0,19,26,0,2,3656,1,-11021.1,-13717.0,8249.777,64.8808,-128.7806
4873,0,0,19,27,0,2,3656,0,-10595.6,-14048.3,8249.777,64.8808,-127.0246
4874,0,0,19,28,0,1,3607,0,-9715.04,-14671.0,8249.777,64.8808,-123.5123
4875,0,0,19,29,0,1,3607,1,-9260.89,-14961.9,8249.777,64.8809,-121.7561
4876,0,0,19,30,0,2,3607,2,-8798.03,-15238.6,8249.777,64.8808,-120.0001
4877,0,0,19,31,0,1,7341,0,-8326.91,-15501.1,8249.777,64.8808,-118.2439
4878,0,0,19,32,0,2,7341,1,-7847.97,-15749.0,8249.777,64.8808,-116.4878
4879,0,0,19,33,0,2,7341,2,-6868.43,-16200.2,8249.777,64.8808,-112.9756
4880,0,0,19,34,0,1,7046,0,-6368.75,-16403.1,8249.777,64.8809,-111.2194
4881,0,0,19,35,0,1,7046,1,-5863.09,-16590.5,8249.777,64.8808,-109.4634
4882,0,0,19,36,0,1,7046,2,-5351.92,-16762.4,8249.777,64.8808,-107.7073
4883,0,0,19,37,0,2,7472,0,-4835.73,-16918.5,8249.777,64.8808,-105.9513
4884,0,0,19,38,0,1,7472,1,-4314.99,-17058.8,8249.777,64.8808,-104.1951
4885,0,0,19,39,0,2,7472,2,-3261.85,-17291.1,8249.777,64.8808,-100.6829
4886,0,0,19,40,0,1,7673,0,-2730.43,-17382.9,8249.777,64.8808,-98.9268
4887,0,0,19,41,0,2,7673,1,-2196.45,-17458.4,8249.777,64.8808,-97.1707
4888,0,0,19,42,0,1,7673,2,-1660.41,-17517.6,8249.777,64.8809,-95.4146
4889,0,0,19,43,0,2,0074,0,-1122.81,-17560.2,8249.777,64.8808,-93.6585
4890,0,0,19,44,0,1,0074,1,-584.15,-17586.4,8249.777,64.8809,-91.9024
4891,0,0,19,45,0,2,0074,2,494.3063,-17589.1,8249.777,64.8808,-88.3902
4892,0,0,19,46,0,1,7442,2,1033.09,-17565.7,8249.777,64.8808,-86.6341
4893,0,0,19,47,0,1,7442,1,1570.904,-17525.8,8249.777,64.8808,-84.878
4894,0,0,19,48,0,1,7442,0,2107.242,-17469.4,8249.777,64.8808,-83.1219
4895,0,0,19,49,0,1,6974,0,2641.603,-17396.7,8249.777,64.8809,-81.3659
4896,0,0,19,50,0,2,6974,1,3173.48,-17307.5,8249.777,64.8808,-79.6097
4897,0,0,19,51,0,1,6974,2,4227.795,-17080.6,8249.777,64.8808,-76.0976
4898,0,0,19,52,0,1,7610,2,4749.243,-16943.0,8249.777,64.8808,-74.3414
4899,0,0,19,53,0,1,7610,1,5266.232,-16789.5,8249.777,64.8808,-72.5853
4900,0,0,19,54,0,2,7610,0,5778.271,-16620.3,8249.777,64.8809,-70.8293
4901,0,0,19,55,0,1,0017,0,6284.884,-16435.4,8249.777,64.8809,-69.0732
4902,0,0,19,56,0,2,0017,1,6785.592,-16235.1,8249.777,64.8809,-67.3171
4903,0,0,19,57,0,1,0017,2,7767.423,-15788.9,8249.777,64.8809,-63.8049
4904,0,0,19,58,0,1,4115,2,8247.623,-15543.4,8249.777,64.8808,-62.0487
4905,0,0,19,59,0,1,4115,1,8720.075,-15283.4,8249.777,64.8809,-60.2927
4906,0,0,19,60,0,2,4115,0,9184.337,-15009.0,8249.777,64.8809,-58.5366
4907,0,0,19,61,0,1,5306,0,9639.972,-14720.5,8249.777,64.8809,-56.7805
4908,0,0,19,62,0,2,5306,1,10086.55,-14418.1,8249.777,64.8808,-55.0243
4909,0,0,19,63,0,1,5306,2,10950.88,-13773.2,8249.777,64.8809,-51.5123
