#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
66,0,0,59,26,0,2,3195,0,-1921.16,1532.077,19278.02,7.264,141.4285
67,0,0,59,27,0,2,6428,2,-2213.92,1066.165,19278.02,7.264,154.2858
68,0,0,59,28,0,2,6428,1,-2395.65,546.7917,19278.02,7.264,167.1429
69,0,0,58,1,0,2,5452,2,-2981.99,-133.921,19203.39,8.8354,-177.4286
70,0,0,58,2,0,2,5452,1,-2910.15,-664.223,19203.39,8.8354,-167.1429
71,0,0,58,3,0,2,5452,0,-2744.78,-1173.18,19203.39,8.8354,-156.8571
72,0,0,58,4,0,2,5026,0,-2491.19,-1644.42,19203.39,8.8354,-146.5714
73,0,0,58,5,0,2,5026,1,-2157.54,-2062.82,19203.39,8.8354,-136.2857
74,0,0,58,6,0,2,5026,2,-1754.53,-2414.91,19203.39,8.8354,-125.9999
75,0,0,58,7,0,2,3608,0,-1295.14,-2689.39,19203.39,8.8354,-115.7143
76,0,0,58,8,0,2,3608,1,-794.118,-2877.42,19203.39,8.8354,-105.4286
77,0,0,58,9,0,2,3608,2,-267.573,-2972.98,19203.39,8.8354,-95.1429
78,0,0,58,10,0,2,3245,0,267.5725,-2972.98,19203.39,8.8354,-84.8572
79,0,0,58,11,0,2,3245,1,794.1177,-2877.42,19203.39,8.8354,-74.5714
80,0,0,58,12,0,2,3245,2,1295.14,-2689.39,19203.39,8.8354,-64.2857
81,0,0,58,13,0,2,6466,2,1754.534,-2414.91,19203.39,8.8354,-54.0
82,0,0,58,14,0,2,6466,1,2157.537,-2062.82,19203.39,8.8354,-43.7143
83,0,0,58,15,0,2,6466,0,2491.195,-1644.42,19203.39,8.8354,-33.4285
84,0,0,58,16,0,2,5796,2,2744.783,-1173.18,19203.39,8.8354,-23.1429
85,0,0,58,17,0,2,5796,1,2910.152,-664.223,19203.39,8.8354,-12.8571
86,0,0,58,18,0,2,5796,0,2981.987,-133.921,19203.39,8.8354,-2.5714
87,0,0,58,19,0,2,5053,0,2957.978,400.6851,19203.39,8.8354,7.7143
88,0,0,58,20,0,2,5053,1,2838.897,922.4131,19203.39,8.8354,18.0
89,0,0,58,21,0,2,5053,2,2628.571,1414.494,19203.39,8.8354,28.2857
90,0,0,58,22,0,2,5464,0,2333.761,1861.112,19203.39,8.8354,38.5714
91,0,0,58,23,0,2,5464,1,1963.942,2247.912,19203.39,8.8354,48.8571
92,0,0,58,24,0,2,5464,2,1531.0,2562.463,19203.39,8.8354,59.1429
93,0,0,58,25,0,2,3151,0,1048.851,2794.654,19203.39,8.8354,69.4286
94,0,0,58,26,0,2,3151,1,532.9909,2937.022,19203.39,8.8354,79.7143
95,0,0,58,27,0,2,3151,2,0.0,2984.992,19203.39,8.8354,90.0
96,0,0,58,28,0,2,4260,2,-532.991,2937.022,19203.39,8.8354,100.2857
97,0,0,58,29,0,2,4260,1,-1048.85,2794.654,19203.39,8.8354,110.5714
98,0,0,58,30,0,2,6484,2,-1531.0,2562.463,19203.39,8.8354,120.8571
99,0,0,58,31,0,2,6484,1,-1963.94,2247.913,19203.39,8.8354,131.1428
100,0,0,58,32,0,2,6484,0,-2333.76,1861.112,19203.39,8.8354,141.4286
101,0,0,58,33,0,2,5473,2,-2628.57,1414.494,19203.39,8.8354,151.7143
102,0,0,58,34,0,2,5473,1,-2838.9,922.4133,19203.39,8.8354,162.0
103,0,0,58,35,0,1,5473,0,-2957.98,400.6852,19203.39,8.8354,172.2857
104,0,0,57,1,0,1,5775,0,-3487.32,-402.594,19114.31,10.4068,-173.4146
105,0,0,57,2,0,2,3308,2,-3384.99,-930.212,19114.31,10.4068,-164.6341
106,0,0,57,3,0,2,3308,1,-3203.33,-1436.03,19114.31,10.4068,-155.8536
107,0,0,57,4,0,2,3308,0,-2946.57,-1908.18,19114.31,10.4068,-147.0732
108,0,0,57,5,0,2,2990,0,-2620.76,-2335.61,19114.31,10.4068,-138.2927
109,0,0,57,6,0,2,2990,1,-2233.52,-2708.3,19114.31,10.4068,-129.5122
110,0,0,57,7,0,2,2990,2,-1793.92,-3017.5,19114.31,10.4068,-120.7317
111,0,0,57,8,0,2,3346,2,-1312.28,-3255.98,19114.31,10.4068,-111.9513
112,0,0,57,9,0,2,3346,1,-799.875,-3418.14,19114.31,10.4068,-103.1707
113,0,0,57,10,0,2,3346,0,-268.725,-3500.18,19114.31,10.4068,-94.3902
114,0,0,57,11,0,2,3329,1,268.7244,-3500.18,19114.31,10.4068,-85.6098
115,0,0,57,12,0,2,3329,2,799.8747,-3418.14,19114.31,10.4068,-76.8293
116,0,0,57,13,0,2,3329,0,1312.277,-3255.98,19114.31,10.4068,-68.0488
117,0,0,57,14,0,2,2962,0,1793.92,-3017.5,19114.31,10.4068,-59.2683
118,0,0,57,15,0,2,2962,1,2233.516,-2708.3,19114.31,10.4068,-50.4878
119,0,0,57,16,0,2,2962,2,2620.759,-2335.61,19114.31,10.4068,-41.7073
120,0,0,57,17,0,2,5887,0,2946.575,-1908.18,19114.31,10.4068,-32.9268
121,0,0,57,18,0,2,5887,1,3203.325,-1436.03,19114.31,10.4068,-24.1464
122,0,0,57,19,0,2,5887,2,3384.992,-930.212,19114.31,10.4068,-15.3659
123,0,0,57,20,0,2,6103,2,3487.317,-402.594,19114.31,10.4068,-6.5854
124,0,0,57,21,0,2,6103,1,3507.903,134.4607,19114.31,10.4068,2.1951
125,0,0,57,22,0,2,6103,0,3446.267,668.3638,19114.31,10.4068,10.9756
126,0,0,57,23,0,2,6156,1,3303.853,1186.601,19114.31,10.4068,19.7561
127,0,0,57,24,0,2,6156,2,3083.999,1677.025,19114.31,10.4068,28.5366
128,0,0,57,25,0,2,6156,0,2791.859,2128.141,19114.31,10.4068,37.3171
129,0,0,57,26,0,2,3378,1,2434.28,2529.376,19114.31,10.4068,46.0976
130,0,0,57,27,0,2,3378,2,2019.644,2871.324,19114.31,10.4068,54.8781
131,0,0,57,28,0,2,3378,0,1557.669,3145.97,19114.31,10.4068,63.6585
132,0,0,57,29,0,2,4300,0,1059.184,3346.878,19114.31,10.4068,72.439
133,0,0,57,30,0,2,4300,1,535.8721,3469.338,19114.31,10.4068,81.2195
134,0,0,57,31,0,2,4300,2,0.0,3510.479,19114.31,10.4068,90.0
135,0,0,57,32,0,2,3229,2,-535.872,3469.338,19114.31,10.4068,98.7805
136,0,0,57,33,0,2,3229,0,-1059.18,3346.878,19114.31,10.4068,107.5609
137,0,0,57,34,0,2,5591,1,-1557.67,3145.971,19114.31,10.4068,116.3415
138,0,0,57,35,0,2,5591,2,-2019.64,2871.324,19114.31,10.4068,125.1219
139,0,0,57,36,0,2,5591,0,-2434.28,2529.376,19114.31,10.4068,133.9024
140,0,0,57,37,0,2,5600,0,-2791.86,2128.142,19114.31,10.4068,142.6829
141,0,0,57,38,0,2,5600,1,-3084.0,1677.025,19114.31,10.4068,151.4634
142,0,0,57,39,0,2,5600,2,-3303.85,1186.601,19114.31,10.4068,160.2439
143,0,0,57,40,0,1,5775,1,-3446.27,668.364,19114.31,10.4068,169.0244
144,0,0,57,41,0,1,5775,2,-3507.9,134.4609,19114.31,10.4068,177.8049
145,0,0,56,1,0,2,3286,0,-4031.63,-116.809,19010.86,11.9782,-178.3404
146,0,0,56,2,0,2,3286,1,-3967.82,-723.967,19010.86,11.9782,-169.6596
147,0,0,56,3,0,2,3286,2,-3835.92,-1246.37,19010.86,11.9782,-161.9999
148,0,0,56,4,0,2,4122,1,-3635.57,-1746.52,19010.86,11.9782,-154.3405
149,0,0,56,5,0,2,4122,2,-3330.32,-2275.23,19010.86,11.9782,-145.6596
150,0,0,56,6,0,2,4122,0,-2997.34,-2698.82,19010.86,11.9782,-138.0
151,0,0,56,7,0,2,3042,1,-2610.88,-3074.25,19010.86,11.9782,-130.3404
152,0,0,56,8,0,2,3042,2,-2116.98,-3433.09,19010.86,11.9782,-121.6596
153,0,0,56,9,0,2,3042,0,-1640.5,-3684.63,19010.86,11.9782,-114.0
154,0,0,56,10,0,2,4109,0,-1134.75,-3870.41,19010.86,11.9782,-106.3404
155,0,0,56,11,0,2,4109,1,-537.59,-3997.34,19010.86,11.9782,-97.6596
